REGIAO:;CO
UF:;MS
ESTACAO:;BATAGUASSU
CODIGO (WMO):;A759
LATITUDE:;-21,75
LONGITUDE:;-52,47138888
ALTITUDE:;392,13
DATA DE FUNDACAO:;21/03/13
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;963,3;963,3;963,2;;27,9;21,4;28,3;27,7;21,5;20,8;69;64;68;85;3,6;2,4;
2025/01/01;0100 UTC;0;963,8;963,9;963,3;;27,3;21,6;28,2;27,3;21,9;21,1;71;66;71;76;4,1;2,7;
2025/01/01;0200 UTC;0;964,5;964,5;963,8;;27,3;21,2;27,4;26,8;21,9;21,2;74;69;69;66;4;2,5;
2025/01/01;0300 UTC;0;964,8;964,9;964,3;;25,4;21,4;27,3;25;22,3;21,2;85;69;78;277;4,8;2;
2025/01/01;0400 UTC;0;965,1;965,3;964,8;;24,9;20,6;25,8;24,8;22,3;20,6;83;75;77;269;6,1;1,5;
2025/01/01;0500 UTC;0;964,1;965,2;964,1;;23,8;21,6;24,9;23,5;21,8;20,6;90;77;88;123;4,6;2,1;
2025/01/01;0600 UTC;0;964;964,1;963,8;;23,5;21,1;24,5;23,5;21,6;20,6;88;79;86;233;2,6;1,2;
2025/01/01;0700 UTC;0;963,9;964,1;963,8;;23,6;21,9;24;23,3;22,7;21,1;95;86;90;99;1,8;,8;
2025/01/01;0800 UTC;0;964,3;964,3;963,9;;24,3;21,6;24,7;23,3;21,8;21,2;91;82;85;87;4,4;2,6;
2025/01/01;0900 UTC;0;965;965;964,2;2,4;24,1;23;24,4;24;23;21,6;94;85;94;103;4,9;3,4;
