REGIAO:;N
UF:;PA
ESTACAO:;BELEM
CODIGO (WMO):;A201
LATITUDE:;-1,41111111
LONGITUDE:;-48,43944444
ALTITUDE:;21,17
DATA DE FUNDACAO:;20/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;1008;1008,2;1006,9;0;24,7;24,1;24,8;24,6;24,1;23,8;96;95;96;242;2,3;0;
2025/01/01;0100 UTC;0;1008,3;1008,3;1008;0;24,6;23,9;24,7;24,5;24,1;23,9;97;96;96;247;2,2;,8;
2025/01/01;0200 UTC;0;1008,4;1008,6;1008,3;0;24,3;23,7;24,6;24,3;24,1;23,7;97;96;96;242;1,8;,3;
2025/01/01;0300 UTC;0;1008;1008,4;1008;0;24,3;23,7;24,4;24,3;23,8;23,6;96;96;96;248;1,5;0;
2025/01/01;0400 UTC;0;1007,3;1008;1007,3;0;24,3;23,8;24,5;24,2;23,9;23,7;97;96;97;248;0;0;
2025/01/01;0500 UTC;0;1007,2;1007,3;1007,1;0;24,2;23,7;24,4;24,2;23,9;23,7;97;97;97;248;,7;0;
2025/01/01;0600 UTC;0;1006,9;1007,2;1006,9;0;24,1;23,7;24,3;24,1;23,9;23,6;98;97;98;248;,7;0;
2025/01/01;0700 UTC;0;1006,8;1007,1;1006,8;0;24,2;23,8;24,2;24,1;23,9;23,7;98;98;98;248;0;0;
2025/01/01;0800 UTC;0;1006,7;1006,9;1006,7;0;24,2;23,8;24,3;24,2;23,9;23,8;98;98;98;248;1;,1;
2025/01/01;0900 UTC;,2;1007,2;1007,2;1006,7;0;24;23,7;24,2;23,9;23,8;23,6;98;98;98;248;,8;0;
