REGIAO:;N
UF:;PA
ESTACAO:;XINGUARA
CODIGO (WMO):;A247
LATITUDE:;-7,11055555
LONGITUDE:;-49,9261111
ALTITUDE:;245
DATA DE FUNDACAO:;11/09/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;982,8;982,8;981,4;;23,5;23,5;23,6;23,3;23,6;23,3;100;100;100;158;3,1;2;
2025/01/01;0100 UTC;0;983,6;983,6;982,8;;23,3;23,3;23,5;23,2;23,5;23,3;100;100;100;123;4,1;2,4;
2025/01/01;0200 UTC;0;983,7;983,7;983,4;;23,2;23,3;23,5;23,1;23,5;23,1;100;99;100;129;5,3;,8;
2025/01/01;0300 UTC;0;983;983,7;983;;22,8;22,8;23,3;22,7;23,3;22,8;100;98;100;209;2,4;1;
2025/01/01;0400 UTC;0;982,9;983;982,8;;22,5;22,5;22,9;22,4;22,8;22,4;100;100;100;90;1,6;,6;
2025/01/01;0500 UTC;0;982,1;982,9;982,1;;22,2;22,3;22,7;22,2;22,7;22,2;100;100;100;38;1,3;,7;
2025/01/01;0600 UTC;0;982,1;982,1;982;;22,7;22,7;22,7;22,2;22,7;22,2;100;100;100;256;1,4;,9;
2025/01/01;0700 UTC;0;981,8;982,1;981,8;;22,4;22,4;22,7;22,4;22,6;22,4;100;100;100;303;2;1,2;
2025/01/01;0800 UTC;0;981,9;982;981,8;;22,5;22,5;22,7;22,4;22,7;22,4;100;100;100;250;1,9;1,3;
2025/01/01;0900 UTC;0;982,5;982,5;981,9;;22,6;22,6;22,6;22,3;22,6;22,3;100;100;100;217;2,3;1,4;
