REGIAO:;SE
UF:;MG
ESTACAO:;PARACATU
CODIGO (WMO):;A571
LATITUDE:;-17,24444444
LONGITUDE:;-46,88166666
ALTITUDE:;705
DATA DE FUNDACAO:;16/03/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;2,2;932,7;932,7;932;;21,3;19,8;21,8;21,3;20;19,4;91;86;91;100;3,4;,9;
2025/01/01;0100 UTC;2,4;933;933,1;932,7;;21,2;19,9;21,4;21,1;20;19,7;92;91;92;154;2,4;1;
2025/01/01;0200 UTC;5;933,9;934;933;;21,2;19,7;21,5;21,1;20;19,6;92;91;92;273;2,2;1,2;
2025/01/01;0300 UTC;9,2;933,4;934;933,4;;21,1;19,9;21,4;21;20,1;19,7;93;92;93;92;2,6;1,2;
2025/01/01;0400 UTC;6;933,1;933,5;933,1;;21,1;19,9;21,3;20,9;20,1;19,8;93;93;93;28;2,9;1,9;
2025/01/01;0500 UTC;1,8;932,4;933,1;932,3;;20,8;19,4;21,1;20,8;20;19,4;93;92;92;32;4,1;1,7;
2025/01/01;0600 UTC;1,6;932,2;932,4;932,2;;20,5;19,4;20,8;20,4;19,4;19,2;93;92;93;48;2,8;1,4;
2025/01/01;0700 UTC;0;932,3;932,3;932,2;;20,5;19,4;20,6;20,5;19,6;19,4;94;93;93;98;2,3;,5;
2025/01/01;0800 UTC;,2;932,2;932,3;932,1;;20,7;19,6;20,7;20,5;19,7;19,4;94;93;94;79;1,6;1;
2025/01/01;0900 UTC;,2;932,8;932,8;932,2;3,5;20,2;19,3;20,7;20,1;19,6;19,2;94;94;94;136;1,7;,9;
